book_name,book_author,book_release_date,book_number_of_pages
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,9/16/2006,652
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,9/1/2004,870
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,11/1/2003,352
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,5/1/2004,435
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,9/13/2004,2690
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,4/26/2005,152
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,9/12/2005,3342
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,11/1/2005,815
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4/30/2002,815
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,8/3/2004,215
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,3/23/2005,6
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,1/17/1996,815
A Short History of Nearly Everything,Bill Bryson,9/14/2004,544
Bill Bryson's African Diary,Bill Bryson,12/3/2002,55
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,9/14/2004,256
In a Sunburned Country,Bill Bryson,5/15/2001,335
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,6/28/2000,304
The Lost Continent: Travels in Small Town America,Bill Bryson,8/28/1990,299
Neither Here nor There: Travels in Europe,Bill Bryson,3/28/1993,254
Notes from a Small Island,Bill Bryson,5/28/1997,324
The Mother Tongue: English and How It Got That Way,Bill Bryson,9/28/1991,270
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,9/25/2012,1728
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,10/21/2004,1184
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,9/5/2003,398
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,10/1/2002,1216
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,11/5/2003,218
The Lord of the Rings: Complete Visual Companion,Jude Fisher,11/15/2004,224
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,7/28/2005,558
Hatchet (Brian's Saga  #1),Gary Paulsen,4/1/2000,208
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,8/28/1994,48
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,1/23/2001,144
Molly Hatchet - 5 of the Best,Molly Hatchet,6/10/2003,56
